sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,alt_size_1,alt_size_2,alt_size_3,alt_size_4,artist_first_name,artist_last_name,canvas,color,color_tone,cost,country_of_manufacture,created_at,created_by,custom_design,custom_design_from,custom_design_to,custom_layout_update,date_created,date_expired,date_modified,description,discontinued,do_not_display,embellishments,enable_googlecheckout,format,frame,gallery,gift_message_available,has_options,image,image_label,image_size_cm,image_size_inches,keywords,llc_stock_7_17_12,manufacturer,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,modified_by,mount,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,no_canvas,options_container,over_size,page,page_layout,page_size_cm,paper_quality,paper_size_inches,pod,pod_only,price,required_options,short_description,size,size_category,small_image,small_image_label,special_from_date,special_price,special_to_date,srl_stock_7_14_12,status,tax_class_id,thumbnail,thumbnail_label,title,total_quantity_on_hand,udf_anycustom,udf_artist_name,udf_copyright,udf_crline,udf_decal,udf_dnd,udf_embellished,udf_framed,udf_imsource,udf_limited,udf_maxsf,udf_new,udf_osdp,udf_photopaper,udf_poster,udf_pricecode,udf_rag,udf_ratiocode,udf_specpaper,udf_tar,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled,_custom_option_store,_custom_option_type,_custom_option_title,_custom_option_is_required,_custom_option_price,_custom_option_sku,_custom_option_max_characters,_custom_option_sort_order,_custom_option_row_title,_custom_option_row_price,_custom_option_row_sku,_custom_option_row_sort
,,,,,,,,,,,,,,Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/A/C/ACS_5777_3.jpg,"The Arrangement II",2,0,,,,,,,,,,,,
,,,,,,,,,,,,,,Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/A/C/ACS_5777_4.jpg,"The Arrangement II",3,0,,,,,,,,,,,,
,,,,,,,,,,,,,,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/A/C/ACS_5777_5.jpg,"The Arrangement II",4,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/A/C/ACS_5777_6.jpg,"The Arrangement II",5,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/A/C/ACS_5777_7.jpg,"The Arrangement II",6,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/A/C/ACS_5777_8.jpg,"The Arrangement II",7,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/A/C/ACS_5777_9.jpg,"The Arrangement II",8,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/A/C/ACS_5777_10.jpg,"The Arrangement II",9,0,,,,,,,,,,,,
"AE 7074",,"Topart - Products",simple,"Artist Focus","Root Category",base,"AE 7091",,,,Alex,Edwards,,Blue,Primary,,,"2012-10-05 23:59:15","Veronica Gonzalez",,,,,"2012-06-05 00:00:00","2111-06-05 00:00:00","2012-06-05 00:00:00","Force of Nature",No,No,,1,Square,,,,0,/A/E/AE_7074_10.jpg,"Force of Nature","50 x 50","19 5/8 x 19 5/8","Summer 2012, abstract, black, white, tan, brown, blue",660.0,,,"Force of Nature","Summer 2012, abstract, black, white, tan, brown, blue

","Force of Nature",,"Veronica Gonzalez",,,"Use config","Use config","Force of Nature",,,No,"Block after Info Column",No,No,,"50 x 50",,"19 5/8 x 19 5/8",No,No,32.0000,0,"Force of Nature",,Medium,/A/E/AE_7074_10.jpg,"Force of Nature",,,,-30,1,2,/A/E/AE_7074_10.jpg,"Force of Nature","Force of Nature",,,,,,,,,,,,,,,,,,,,,,"2012-10-17 08:49:34",force-of-nature,force-of-nature,4,1.0000,0.0000,0.0000,0,0,0,0,0.0000,0,0.0000,0,0,0.0000,0,0,0,1,0,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/A/E/AE_7074_2.jpg,"Force of Nature",1,0,,,,,,,,,,,,
,,,,"Collections/Oversize Variety","Root Category",,,,,,,,,Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/A/E/AE_7074_3.jpg,"Force of Nature",2,0,,,,,,,,,,,,
,,,,"Artist Focus/Alex Edwards","Root Category",,,,,,,,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/A/E/AE_7074_4.jpg,"Force of Nature",3,0,,,,,,,,,,,,
,,,,,,,,,,,,,,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/A/E/AE_7074_5.jpg,"Force of Nature",4,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/A/E/AE_7074_6.jpg,"Force of Nature",5,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/A/E/AE_7074_7.jpg,"Force of Nature",6,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/A/E/AE_7074_8.jpg,"Force of Nature",7,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/A/E/AE_7074_9.jpg,"Force of Nature",8,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/A/E/AE_7074_10.jpg,"Force of Nature",9,0,,,,,,,,,,,,
"AE 7075",,"Topart - Products",simple,"Artist Focus","Root Category",base,"AE 7092",,,,Alex,Edwards,,Red,Primary,,,"2012-10-05 23:59:15","Veronica Gonzalez",,,,,"2012-06-05 00:00:00","2111-06-05 00:00:00","2012-06-05 00:00:00","Singular Vision",No,No,,1,Square,,,,0,/A/E/AE_7075_10.jpg,"Singular Vision","50 x 50","19 5/8 x 19 5/8","Summer 2012, abstract, black, white, tan, brown, red",658.0,,,"Singular Vision","Summer 2012, abstract, black, white, tan, brown, red

","Singular Vision",,"Veronica Gonzalez",,,"Use config","Use config","Singular Vision",,,No,"Block after Info Column",No,No,,"50 x 50",,"19 5/8 x 19 5/8",No,No,32.0000,0,"Singular Vision",,Medium,/A/E/AE_7075_10.jpg,"Singular Vision",,,,-30,1,0,/A/E/AE_7075_10.jpg,"Singular Vision","Singular Vision",,,,,,,,,,,,,,,,,,,,,,"2012-10-11 20:56:11",singular-vision,singular-vision,4,1.0000,0.0000,0.0000,0,0,0,0,0.0000,0,0.0000,0,0,0.0000,0,0,0,1,0,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/A/E/AE_7075_2.jpg,"Singular Vision",1,0,,,,,,,,,,,,
,,,,"Collections/Oversize Variety","Root Category",,,,,,,,,Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/A/E/AE_7075_3.jpg,"Singular Vision",2,0,,,,,,,,,,,,
,,,,"Artist Focus/Alex Edwards","Root Category",,,,,,,,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/A/E/AE_7075_4.jpg,"Singular Vision",3,0,,,,,,,,,,,,
,,,,,,,,,,,,,,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/A/E/AE_7075_5.jpg,"Singular Vision",4,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/A/E/AE_7075_6.jpg,"Singular Vision",5,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/A/E/AE_7075_7.jpg,"Singular Vision",6,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/A/E/AE_7075_8.jpg,"Singular Vision",7,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/A/E/AE_7075_9.jpg,"Singular Vision",8,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/A/E/AE_7075_10.jpg,"Singular Vision",9,0,,,,,,,,,,,,
"AE 7091",,"Topart - Products",simple,"Artist Focus","Root Category",base,"AE 7074",,,,Alex,Edwards,,Blue,Primary,,,"2012-10-05 23:59:15","Veronica Gonzalez",,,,,"2012-06-05 00:00:00","2111-06-05 00:00:00","2012-06-05 00:00:00","Force of Nature",No,No,,1,Square,,,,0,/A/E/AE_7091_10.jpg,"Force of Nature","90 x 90","35 3/8 x 35 3/8","Summer 2012, abstract, black, white, tan, brown, blue",654.0,,,"Force of Nature","Summer 2012, abstract, black, white, tan, brown, blue

","Force of Nature",,"Veronica Gonzalez",,,"Use config","Use config","Force of Nature",,,No,"Block after Info Column",No,No,,"90 x 90",,"35 3/8 x 35 3/8",No,No,74.0000,0,"Force of Nature",,Oversize,/A/E/AE_7091_10.jpg,"Force of Nature",,,,-21,1,0,/A/E/AE_7091_10.jpg,"Force of Nature","Force of Nature",,,,,,,,,,,,,,,,,,,,,,"2012-10-11 20:55:52",force-of-nature,force-of-nature-3113,4,1.0000,0.0000,0.0000,0,0,0,0,0.0000,0,0.0000,0,0,0.0000,0,0,0,1,0,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/A/E/AE_7091_2.jpg,"Force of Nature",1,0,,,,,,,,,,,,
,,,,"Collections/Oversize Variety","Root Category",,,,,,,,,Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/A/E/AE_7091_3.jpg,"Force of Nature",2,0,,,,,,,,,,,,
,,,,"Artist Focus/Alex Edwards","Root Category",,,,,,,,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/A/E/AE_7091_4.jpg,"Force of Nature",3,0,,,,,,,,,,,,
,,,,,,,,,,,,,,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/A/E/AE_7091_5.jpg,"Force of Nature",4,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/A/E/AE_7091_6.jpg,"Force of Nature",5,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/A/E/AE_7091_7.jpg,"Force of Nature",6,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/A/E/AE_7091_8.jpg,"Force of Nature",7,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/A/E/AE_7091_9.jpg,"Force of Nature",8,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/A/E/AE_7091_10.jpg,"Force of Nature",9,0,,,,,,,,,,,,
"AE 7092",,"Topart - Products",simple,"Artist Focus","Root Category",base,"AE 7075",,,,Alex,Edwards,,Red,Primary,,,"2012-10-05 23:59:15","Veronica Gonzalez",,,,,"2012-06-05 00:00:00","2111-06-05 00:00:00","2012-06-05 00:00:00","Singular Vision",No,No,,1,Square,,,,0,/A/E/AE_7092_10.jpg,"Singular Vision","90 x 90","35 3/8 x 35 3/8","Summer 2012, abstract, black, white, tan, brown, red",580.0,,,"Singular Vision","Summer 2012, abstract, black, white, tan, brown, red

","Singular Vision",,"Veronica Gonzalez",,,"Use config","Use config","Singular Vision",,,No,"Block after Info Column",No,No,,"90 x 90",,"35 3/8 x 35 3/8",No,No,74.0000,0,"Singular Vision",,Oversize,/A/E/AE_7092_10.jpg,"Singular Vision",,,,-21,1,0,/A/E/AE_7092_10.jpg,"Singular Vision","Singular Vision",,,,,,,,,,,,,,,,,,,,,,"2012-10-11 20:55:33",singular-vision,singular-vision-3114,4,1.0000,0.0000,0.0000,0,0,0,0,0.0000,0,0.0000,0,0,0.0000,0,0,0,1,0,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/A/E/AE_7092_2.jpg,"Singular Vision",1,0,,,,,,,,,,,,
,,,,"Collections/Oversize Variety","Root Category",,,,,,,,,Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/A/E/AE_7092_3.jpg,"Singular Vision",2,0,,,,,,,,,,,,
